Vgate (V),Vsource (V),Vdrain (V),Idrain (A)
0,0,0,3.56E-08
0,0,5.00E-02,6.33E-08
0,0,1.00E-01,6.76E-08
0,0,1.50E-01,6.95E-08
0,0,2.00E-01,6.91E-08
0,0,2.50E-01,7.40E-08
0,0,3.00E-01,7.63E-08
0,0,3.50E-01,7.98E-08
0,0,4.00E-01,7.94E-08
0,0,4.50E-01,7.93E-08
0,0,5.00E-01,7.90E-08
0,0,5.50E-01,8.41E-08
0,0,6.00E-01,8.50E-08
0,0,6.50E-01,8.84E-08
0,0,7.00E-01,8.85E-08
0,0,7.50E-01,8.84E-08
0,0,8.00E-01,9.17E-08
0,0,8.50E-01,9.31E-08
0,0,9.00E-01,9.36E-08
0,0,9.50E-01,9.72E-08
0,0,1,9.71E-08
0,0,1.05,9.67E-08
0,0,1.1,1.02E-07
0,0,1.15,1.04E-07
0,0,1.2,1.06E-07
0,0,1.25,1.06E-07
0,0,1.3,1.09E-07
0,0,1.35,1.08E-07
0,0,1.4,1.12E-07
0,0,1.45,1.10E-07
0,0,1.5,1.13E-07
0,0,1.55,1.14E-07
0,0,1.6,1.15E-07
0,0,1.65,1.15E-07
0,0,1.7,1.15E-07
0,0,1.75,1.15E-07
0,0,1.8,1.15E-07
0,0,1.85,1.15E-07
0,0,1.9,1.15E-07
0,0,1.95,1.15E-07
0,0,2,1.15E-07
0,0,2.05,1.15E-07
0,0,2.1,1.15E-07
0,0,2.15,1.15E-07
0,0,2.2,1.15E-07
0,0,2.25,1.15E-07
0,0,2.3,1.15E-07
0,0,2.35,1.15E-07
0,0,2.4,-1.00E-08
0,0,2.45,-6.53E-08
0,0,2.5,-5.00E-08
0,0,2.55,9.33E-08
0,0,2.6,9.73E-08
0,0,2.65,1.02E-07
0,0,2.7,1.02E-07
0,0,2.75,1.09E-07
0,0,2.8,1.11E-07
0,0,2.85,1.10E-07
0,0,2.9,1.17E-07
0,0,2.95,1.21E-07
0,0,3,1.27E-07
0,0,3.05,1.31E-07
0,0,3.1,1.34E-07
0,0,3.15,1.38E-07
0,0,3.2,1.44E-07
0,0,3.25,1.49E-07
0,0,3.3,1.53E-07
0,0,3.35,1.59E-07
0,0,3.4,1.65E-07
0,0,3.45,1.72E-07
0,0,3.5,1.78E-07
0,0,3.55,1.83E-07
0,0,3.6,1.87E-07
0,0,3.65,1.97E-07
0,0,3.7,2.07E-07
0,0,3.75,2.13E-07
0,0,3.8,2.21E-07
0,0,3.85,2.27E-07
0,0,3.9,2.36E-07
0,0,3.95,2.49E-07
0,0,4,2.59E-07
1.00E-01,0,0,-1.01E-08
1.00E-01,0,5.00E-02,1.28E-06
1.00E-01,0,1.00E-01,1.52E-06
1.00E-01,0,1.50E-01,1.61E-06
1.00E-01,0,2.00E-01,1.67E-06
1.00E-01,0,2.50E-01,1.71E-06
1.00E-01,0,3.00E-01,1.78E-06
1.00E-01,0,3.50E-01,1.83E-06
1.00E-01,0,4.00E-01,1.88E-06
1.00E-01,0,4.50E-01,1.92E-06
1.00E-01,0,5.00E-01,1.97E-06
1.00E-01,0,5.50E-01,2.02E-06
1.00E-01,0,6.00E-01,2.06E-06
1.00E-01,0,6.50E-01,2.11E-06
1.00E-01,0,7.00E-01,2.16E-06
1.00E-01,0,7.50E-01,2.20E-06
1.00E-01,0,8.00E-01,2.25E-06
1.00E-01,0,8.50E-01,2.30E-06
1.00E-01,0,9.00E-01,2.34E-06
1.00E-01,0,9.50E-01,2.38E-06
1.00E-01,0,1,2.43E-06
1.00E-01,0,1.05,2.47E-06
1.00E-01,0,1.1,2.52E-06
1.00E-01,0,1.15,2.56E-06
1.00E-01,0,1.2,2.61E-06
1.00E-01,0,1.25,2.65E-06
1.00E-01,0,1.3,2.70E-06
1.00E-01,0,1.35,2.74E-06
1.00E-01,0,1.4,2.79E-06
1.00E-01,0,1.45,2.84E-06
1.00E-01,0,1.5,2.89E-06
1.00E-01,0,1.55,2.92E-06
1.00E-01,0,1.6,2.98E-06
1.00E-01,0,1.65,3.02E-06
1.00E-01,0,1.7,3.08E-06
1.00E-01,0,1.75,3.13E-06
1.00E-01,0,1.8,3.17E-06
1.00E-01,0,1.85,3.23E-06
1.00E-01,0,1.9,3.26E-06
1.00E-01,0,1.95,3.32E-06
1.00E-01,0,2,3.37E-06
1.00E-01,0,2.05,3.43E-06
1.00E-01,0,2.1,3.48E-06
1.00E-01,0,2.15,3.53E-06
1.00E-01,0,2.2,3.59E-06
1.00E-01,0,2.25,3.64E-06
1.00E-01,0,2.3,3.70E-06
1.00E-01,0,2.35,3.75E-06
1.00E-01,0,2.4,3.82E-06
1.00E-01,0,2.45,3.87E-06
1.00E-01,0,2.5,3.93E-06
1.00E-01,0,2.55,3.99E-06
1.00E-01,0,2.6,4.05E-06
1.00E-01,0,2.65,4.12E-06
1.00E-01,0,2.7,4.18E-06
1.00E-01,0,2.75,4.24E-06
1.00E-01,0,2.8,4.31E-06
1.00E-01,0,2.85,4.37E-06
1.00E-01,0,2.9,4.45E-06
1.00E-01,0,2.95,4.51E-06
1.00E-01,0,3,4.58E-06
1.00E-01,0,3.05,4.66E-06
1.00E-01,0,3.1,4.74E-06
1.00E-01,0,3.15,4.81E-06
1.00E-01,0,3.2,4.89E-06
1.00E-01,0,3.25,4.97E-06
1.00E-01,0,3.3,5.06E-06
1.00E-01,0,3.35,5.15E-06
1.00E-01,0,3.4,5.24E-06
1.00E-01,0,3.45,5.34E-06
1.00E-01,0,3.5,5.43E-06
1.00E-01,0,3.55,5.54E-06
1.00E-01,0,3.6,5.64E-06
1.00E-01,0,3.65,5.75E-06
1.00E-01,0,3.7,5.87E-06
1.00E-01,0,3.75,5.99E-06
1.00E-01,0,3.8,6.12E-06
1.00E-01,0,3.85,6.25E-06
1.00E-01,0,3.9,6.39E-06
1.00E-01,0,3.95,6.53E-06
1.00E-01,0,4,6.67E-06
2.00E-01,0,0,8.68E-08
2.00E-01,0,5.00E-02,4.37E-05
2.00E-01,0,1.00E-01,5.38E-05
2.00E-01,0,1.50E-01,5.55E-05
