Index	Vgate	Vsource	Vdrain	Idrain	IdrainPerWg
1	 0 V	 0 V	 0 V	 35.6290 nA	 3.562900000 nA/um
2	 0 V	 0 V	 50.0 mV	 63.2950 nA	 6.329500000 nA/um
3	 0 V	 0 V	 100.0 mV	 67.6180 nA	 6.761800000 nA/um
4	 0 V	 0 V	 150.0 mV	 69.4660 nA	 6.946600000 nA/um
5	 0 V	 0 V	 200.0 mV	 69.1160 nA	 6.911600000 nA/um
6	 0 V	 0 V	 250.0 mV	 74.0350 nA	 7.403500000 nA/um
7	 0 V	 0 V	 300.0 mV	 76.3400 nA	 7.634000000 nA/um
8	 0 V	 0 V	 350.0 mV	 79.8260 nA	 7.982600000 nA/um
9	 0 V	 0 V	 400.0 mV	 79.4110 nA	 7.941100000 nA/um
10	 0 V	 0 V	 450.0 mV	 79.2700 nA	 7.927000000 nA/um
11	 0 V	 0 V	 500.0 mV	 78.9960 nA	 7.899600000 nA/um
12	 0 V	 0 V	 550.0 mV	 84.0800 nA	 8.408000000 nA/um
13	 0 V	 0 V	 600.0 mV	 85.0050 nA	 8.500500000 nA/um
14	 0 V	 0 V	 650.0 mV	 88.3810 nA	 8.838100000 nA/um
15	 0 V	 0 V	 700.0 mV	 88.4680 nA	 8.846800000 nA/um
16	 0 V	 0 V	 750.0 mV	 88.3550 nA	 8.835500000 nA/um
17	 0 V	 0 V	 800.0 mV	 91.7040 nA	 9.170400000 nA/um
18	 0 V	 0 V	 850.0 mV	 93.0970 nA	 9.309700000 nA/um
19	 0 V	 0 V	 900.0 mV	 93.5790 nA	 9.357900000 nA/um
20	 0 V	 0 V	 950.0 mV	 97.1910 nA	 9.719100000 nA/um
21	 0 V	 0 V	 1.0000 V	 97.0950 nA	 9.709500000 nA/um
22	 0 V	 0 V	 1.0500 V	 96.7350 nA	 9.673500000 nA/um
23	 0 V	 0 V	 1.1000 V	 101.6390 nA	 10.16390000 nA/um
24	 0 V	 0 V	 1.1500 V	 104.4210 nA	 10.44210000 nA/um
25	 0 V	 0 V	 1.2000 V	 105.5300 nA	 10.55300000 nA/um
26	 0 V	 0 V	 1.2500 V	 105.6420 nA	 10.56420000 nA/um
27	 0 V	 0 V	 1.3000 V	 108.7260 nA	 10.87260000 nA/um
28	 0 V	 0 V	 1.3500 V	 108.0430 nA	 10.80430000 nA/um
29	 0 V	 0 V	 1.4000 V	 111.6750 nA	 11.16750000 nA/um
30	 0 V	 0 V	 1.4500 V	 110.0770 nA	 11.00770000 nA/um
31	 0 V	 0 V	 1.5000 V	 113.2420 nA	 11.32420000 nA/um
32	 0 V	 0 V	 1.5500 V	 114.3510 nA	 11.43510000 nA/um
33	 0 V	 0 V	 1.6000 V	 114.9790 nA	 11.49790000 nA/um
34	 0 V	 0 V	 1.6500 V	 115.0100 nA	 11.50100000 nA/um
35	 0 V	 0 V	 1.7000 V	 115.0030 nA	 11.50030000 nA/um
36	 0 V	 0 V	 1.7500 V	 115.0070 nA	 11.50070000 nA/um
37	 0 V	 0 V	 1.8000 V	 115.0070 nA	 11.50070000 nA/um
38	 0 V	 0 V	 1.8500 V	 115.0070 nA	 11.50070000 nA/um
39	 0 V	 0 V	 1.9000 V	 115.0070 nA	 11.50070000 nA/um
40	 0 V	 0 V	 1.9500 V	 115.0060 nA	 11.50060000 nA/um
41	 0 V	 0 V	 2.0000 V	 115.0080 nA	 11.50080000 nA/um
42	 0 V	 0 V	 2.0500 V	 115.0070 nA	 11.50070000 nA/um
43	 0 V	 0 V	 2.1000 V	 115.0070 nA	 11.50070000 nA/um
44	 0 V	 0 V	 2.1500 V	 115.0060 nA	 11.50060000 nA/um
45	 0 V	 0 V	 2.2000 V	 115.0070 nA	 11.50070000 nA/um
46	 0 V	 0 V	 2.2500 V	 115.0070 nA	 11.50070000 nA/um
47	 0 V	 0 V	 2.3000 V	 115.0060 nA	 11.50060000 nA/um
48	 0 V	 0 V	 2.3500 V	 115.0070 nA	 11.50070000 nA/um
49	 0 V	 0 V	 2.4000 V	 -10.010 nA	 -1.001000000 nA/um
50	 0 V	 0 V	 2.4500 V	 -65.340 nA	 -6.534000000 nA/um
51	 0 V	 0 V	 2.5000 V	 -50.030 nA	 -5.003000000 nA/um
52	 0 V	 0 V	 2.5500 V	 93.310 nA	 9.331000000 nA/um
53	 0 V	 0 V	 2.6000 V	 97.270 nA	 9.727000000 nA/um
54	 0 V	 0 V	 2.6500 V	 101.730 nA	 10.17300000 nA/um
55	 0 V	 0 V	 2.7000 V	 102.010 nA	 10.20100000 nA/um
56	 0 V	 0 V	 2.7500 V	 108.640 nA	 10.86400000 nA/um
57	 0 V	 0 V	 2.8000 V	 110.830 nA	 11.08300000 nA/um
58	 0 V	 0 V	 2.8500 V	 110.200 nA	 11.02000000 nA/um
59	 0 V	 0 V	 2.9000 V	 116.580 nA	 11.65800000 nA/um
60	 0 V	 0 V	 2.9500 V	 120.890 nA	 12.08900000 nA/um
61	 0 V	 0 V	 3.0000 V	 127.200 nA	 12.72000000 nA/um
62	 0 V	 0 V	 3.0500 V	 130.750 nA	 13.07500000 nA/um
63	 0 V	 0 V	 3.1000 V	 133.850 nA	 13.38500000 nA/um
64	 0 V	 0 V	 3.1500 V	 137.990 nA	 13.79900000 nA/um
