Vgate (V),Vsource (V),Vdrain (V),Idrain (A)
0,0,1.00E-02,1.11E-08
5.00E-02,0,1.00E-02,7.09E-08
1.00E-01,0,1.00E-02,3.93E-07
1.50E-01,0,1.00E-02,2.55E-06
2.00E-01,0,1.00E-02,1.46E-05
2.50E-01,0,1.00E-02,7.39E-05
3.00E-01,0,1.00E-02,2.76E-04
3.50E-01,0,1.00E-02,6.58E-04
4.00E-01,0,1.00E-02,1.06E-03
4.50E-01,0,1.00E-02,1.35E-03
5.00E-01,0,1.00E-02,1.55E-03
5.50E-01,0,1.00E-02,1.67E-03
6.00E-01,0,1.00E-02,1.75E-03
0,0,1.01,7.52E-08
5.00E-02,0,1.01,3.46E-07
1.00E-01,0,1.01,2.34E-06
1.50E-01,0,1.01,1.44E-05
2.00E-01,0,1.01,8.33E-05
2.50E-01,0,1.01,4.47E-04
3.00E-01,0,1.01,1.93E-03
3.50E-01,0,1.01,6.07E-03
4.00E-01,0,1.01,1.46E-02
4.50E-01,0,1.01,2.69E-02
5.00E-01,0,1.01,4.31E-02
5.50E-01,0,1.01,6.18E-02
6.00E-01,0,1.01,8.22E-02
0,0,2.01,1.08E-07
5.00E-02,0,2.01,5.70E-07
1.00E-01,0,2.01,3.31E-06
1.50E-01,0,2.01,1.98E-05
2.00E-01,0,2.01,1.14E-04
2.50E-01,0,2.01,5.89E-04
3.00E-01,0,2.01,2.41E-03
3.50E-01,0,2.01,7.25E-03
4.00E-01,0,2.01,1.65E-02
4.50E-01,0,2.01,2.99E-02
5.00E-01,0,2.01,4.68E-02
5.50E-01,0,2.01,6.61E-02
6.00E-01,0,2.01,8.69E-02
