Index	Vgate	Vsource	Vdrain	Idrain	gm	IdrainPerWg	gmPerWg
1	 0 V	 0 V	 10.00 mV	 11.1310 nA	 1.195330000 uS	 1.113100000 nA/um	 119.5330000 nS/um
2	 50.0 mV	 0 V	 10.00 mV	 70.8975 nA	 3.815250000 uS	 7.089750000 nA/um	 381.5250000 nS/um
3	 100.0 mV	 0 V	 10.00 mV	 392.656 nA	 24.76262500 uS	 39.26560000 nA/um	 2.476262500 uS/um
4	 150.0 mV	 0 V	 10.00 mV	 2.54716 uA	 142.2664400 uS	 254.7160000 nA/um	 14.22664400 uS/um
5	 200.0 mV	 0 V	 10.00 mV	 14.6193 uA	 713.1254000 uS	 1.461930000 uA/um	 71.31254000 uS/um
6	 250.0 mV	 0 V	 10.00 mV	 73.8597 uA	 2.617297000 mS	 7.385970000 uA/um	 261.7297000 uS/um
7	 300.0 mV	 0 V	 10.00 mV	 276.349 uA	 5.839193000 mS	 27.63490000 uA/um	 583.9193000 uS/um
8	 350.0 mV	 0 V	 10.00 mV	 657.779 uA	 7.822970000 mS	 65.77790000 uA/um	 782.2970000 uS/um
9	 400.0 mV	 0 V	 10.00 mV	 1.058646 mA	 6.971310000 mS	 105.8646000 uA/um	 697.1310000 uS/um
10	 450.0 mV	 0 V	 10.00 mV	 1.35491 mA	 4.865440000 mS	 135.4910000 uA/um	 486.5440000 uS/um
11	 500.0 mV	 0 V	 10.00 mV	 1.54519 mA	 3.115700000 mS	 154.5190000 uA/um	 311.5700000 uS/um
12	 550.0 mV	 0 V	 10.00 mV	 1.66648 mA	 2.005800000 mS	 166.6480000 uA/um	 200.5800000 uS/um
13	 600.0 mV	 0 V	 10.00 mV	 1.74577 mA	 1.585800000 mS	 174.5770000 uA/um	 158.5800000 uS/um
14	 0 V	 0 V	 1.0100 V	 75.1723 nA	 5.412554000 uS	 7.517230000 nA/um	 541.2554000 nS/um
15	 50.0 mV	 0 V	 1.0100 V	 345.80 nA	 22.60097700 uS	 34.58000000 nA/um	 2.260097700 uS/um
16	 100.0 mV	 0 V	 1.0100 V	 2.33527 uA	 140.1090000 uS	 233.5270000 nA/um	 14.01090000 uS/um
17	 150.0 mV	 0 V	 1.0100 V	 14.3567 uA	 810.1083000 uS	 1.435670000 uA/um	 81.01083000 uS/um
18	 200.0 mV	 0 V	 1.0100 V	 83.3461 uA	 4.325833000 mS	 8.334610000 uA/um	 432.5833000 uS/um
19	 250.0 mV	 0 V	 1.0100 V	 446.940 uA	 18.46843900 mS	 44.69400000 uA/um	 1.846843900 mS/um
20	 300.0 mV	 0 V	 1.0100 V	 1.93019 mA	 56.20310000 mS	 193.0190000 uA/um	 5.620310000 mS/um
21	 350.0 mV	 0 V	 1.0100 V	 6.06725 mA	 126.3241000 mS	 606.7250000 uA/um	 12.63241000 mS/um
22	 400.0 mV	 0 V	 1.0100 V	 14.5626 mA	 208.4655000 mS	 1.456260000 mA/um	 20.84655000 mS/um
23	 450.0 mV	 0 V	 1.0100 V	 26.9138 mA	 285.0620000 mS	 2.691380000 mA/um	 28.50620000 mS/um
24	 500.0 mV	 0 V	 1.0100 V	 43.0688 mA	 348.9450000 mS	 4.306880000 mA/um	 34.89450000 mS/um
25	 550.0 mV	 0 V	 1.0100 V	 61.8083 mA	 391.5920000 mS	 6.180830000 mA/um	 39.15920000 mS/um
26	 600.0 mV	 0 V	 1.0100 V	 82.2280 mA	 408.3940000 mS	 8.222800000 mA/um	 40.83940000 mS/um
27	 0 V	 0 V	 2.0100 V	 108.279 nA	 9.231160000 uS	 10.82790000 nA/um	 923.1160000 nS/um
28	 50.0 mV	 0 V	 2.0100 V	 569.837 nA	 31.97221000 uS	 56.98370000 nA/um	 3.197221000 uS/um
29	 100.0 mV	 0 V	 2.0100 V	 3.3055 uA	 192.6566300 uS	 330.5500000 nA/um	 19.26566300 uS/um
30	 150.0 mV	 0 V	 2.0100 V	 19.8355 uA	 1.110135000 mS	 1.983550000 uA/um	 111.0135000 uS/um
31	 200.0 mV	 0 V	 2.0100 V	 114.319 uA	 5.688725000 mS	 11.43190000 uA/um	 568.8725000 uS/um
32	 250.0 mV	 0 V	 2.0100 V	 588.708 uA	 22.95991000 mS	 58.87080000 uA/um	 2.295991000 mS/um
33	 300.0 mV	 0 V	 2.0100 V	 2.41031 mA	 66.65282000 mS	 241.0310000 uA/um	 6.665282000 mS/um
34	 350.0 mV	 0 V	 2.0100 V	 7.25399 mA	 141.3559000 mS	 725.3990000 uA/um	 14.13559000 mS/um
35	 400.0 mV	 0 V	 2.0100 V	 16.5459 mA	 226.2701000 mS	 1.654590000 mA/um	 22.62701000 mS/um
36	 450.0 mV	 0 V	 2.0100 V	 29.8810 mA	 302.2650000 mS	 2.988100000 mA/um	 30.22650000 mS/um
37	 500.0 mV	 0 V	 2.0100 V	 46.7724 mA	 361.8630000 mS	 4.677240000 mA/um	 36.18630000 mS/um
38	 550.0 mV	 0 V	 2.0100 V	 66.0673 mA	 401.5010000 mS	 6.606730000 mA/um	 40.15010000 mS/um
39	 600.0 mV	 0 V	 2.0100 V	 86.9225 mA	 417.1040000 mS	 8.692250000 mA/um	 41.71040000 mS/um
