"# Channel 1"
"# Trace 1"
Power, Formatted Data, Formatted Data
-2.50000000000E+001, +1.33374172645E+001, +0.00000000000E+000
-2.40000000000E+001, +1.33367896924E+001, +0.00000000000E+000
-2.30000000000E+001, +1.33380463246E+001, +0.00000000000E+000
-2.20000000000E+001, +1.33385081415E+001, +0.00000000000E+000
-2.10000000000E+001, +1.33391217867E+001, +0.00000000000E+000
-2.00000000000E+001, +1.33400401264E+001, +0.00000000000E+000
-1.90000000000E+001, +1.33421241456E+001, +0.00000000000E+000
-1.80000000000E+001, +1.33431537123E+001, +0.00000000000E+000
-1.70000000000E+001, +1.33455458365E+001, +0.00000000000E+000
-1.60000000000E+001, +1.33480698229E+001, +0.00000000000E+000
-1.50000000000E+001, +1.33510630703E+001, +0.00000000000E+000
-1.40000000000E+001, +1.33544223787E+001, +0.00000000000E+000
-1.30000000000E+001, +1.33592125616E+001, +0.00000000000E+000
-1.20000000000E+001, +1.33646511898E+001, +0.00000000000E+000
-1.10000000000E+001, +1.33704817259E+001, +0.00000000000E+000
-1.00000000000E+001, +1.33768753658E+001, +0.00000000000E+000
-9.00000000000E+000, +1.33831829431E+001, +0.00000000000E+000
-8.00000000000E+000, +1.33893404317E+001, +0.00000000000E+000
-7.00000000000E+000, +1.33916432789E+001, +0.00000000000E+000
-6.00000000000E+000, +1.33798419688E+001, +0.00000000000E+000
-5.00000000000E+000, +1.33343434029E+001, +0.00000000000E+000
-4.00000000000E+000, +1.32277003734E+001, +0.00000000000E+000
-3.00000000000E+000, +1.30314778667E+001, +0.00000000000E+000
-2.00000000000E+000, +1.27343903194E+001, +0.00000000000E+000
-1.00000000000E+000, +1.23390778356E+001, +0.00000000000E+000
+0.00000000000E+000, +1.18853852357E+001, +0.00000000000E+000
+1.00000000000E+000, +1.13684154485E+001, +0.00000000000E+000
+2.00000000000E+000, +1.07990071996E+001, +0.00000000000E+000
+3.00000000000E+000, +1.03105783811E+001, +0.00000000000E+000
+4.00000000000E+000, +9.67391551035E+000, +0.00000000000E+000
+5.00000000000E+000, +8.85667825353E+000, +0.00000000000E+000
+6.00000000000E+000, +7.97965535822E+000, +0.00000000000E+000
+7.00000000000E+000, +7.07715086217E+000, +0.00000000000E+000
+8.00000000000E+000, +6.15509798576E+000, +0.00000000000E+000
+9.00000000000E+000, +5.22081257481E+000, +0.00000000000E+000
+1.00000000000E+001, +4.29598742936E+000, +0.00000000000E+000
